"","sample_id","mean","median","var","sd","cv","I_bar","SI_0","rank_0","SI_0.1","rank_0.1","SI_0.2","rank_0.2","SI_0.3","rank_0.3","SI_0.4","rank_0.4","SI_0.5","rank_0.5","SI_0.6","rank_0.6","SI_0.7","rank_0.7","SI_0.8","rank_0.8","SI_0.9","rank_0.9","SI_1","rank_1"
"1","ID 1144 Year 90",6291.22166042015,6486.1732043694,5835700.43650359,2415.71944490737,0.38398256734544,6291.22166042015,6291.22166042015,1,6049.64971592941,1,5808.07777143868,1,5566.50582694794,1,5324.9338824572,1,5083.36193796647,3,4841.78999347573,3,4600.21804898499,5,4358.64610449425,7,4117.07416000352,12,3875.50221551278,16
"2","ID 1056 Year 89",5856.3592512242,5456.9152599812,2024040.64675432,1422.68782477194,0.242930422083404,5856.3592512242,5856.3592512242,2,5714.09046874701,2,5571.82168626982,2,5429.55290379262,2,5287.28412131543,2,5145.01533883823,2,5002.74655636104,2,4860.47777388384,2,4718.20899140665,2,4575.94020892946,2,4433.67142645226,2
"3","ID 1114 Year 90",5711.31378511788,5884.04912114381,2325760.39931036,1525.04439257038,0.26702164334662,5711.31378511788,5711.31378511788,3,5558.80934586084,3,5406.3049066038,3,5253.80046734676,4,5101.29602808973,4,4948.79158883269,4,4796.28714957565,4,4643.78271031861,3,4491.27827106157,5,4338.77383180454,6,4186.2693925475,7
"4","ID 1120 Year 90",5502.98207884364,5583.66474370577,400552.953026743,632.892528812549,0.115009011431406,5502.98207884364,5502.98207884364,4,5439.69282596238,4,5376.40357308113,4,5313.11432019987,3,5249.82506731862,3,5186.53581443736,1,5123.24656155611,1,5059.95730867486,1,4996.6680557936,1,4933.37880291235,1,4870.08955003109,1
"5","ID 1046 Year 88",5379.50975908686,4406.13634034427,7162224.0206667,2676.23317755884,0.497486443451144,5379.50975908686,5379.50975908686,5,5111.88644133098,7,4844.26312357509,9,4576.63980581921,15,4309.01648806332,21,4041.39317030744,26,3773.76985255155,35,3506.14653479567,45,3238.52321703979,50,2970.8998992839,58,2703.27658152802,64
"6","ID 391 Year 90",5278.32777055002,5393.58164973629,1040465.74121235,1020.03222557542,0.193249125464812,5278.32777055002,5278.32777055002,6,5176.32454799248,5,5074.32132543493,5,4972.31810287739,5,4870.31488031985,6,4768.31165776231,6,4666.30843520476,6,4564.30521264722,7,4462.30199008968,6,4360.29876753214,5,4258.29554497459,5
"7","ID 1017 Year 88",5250.24375422827,4742.09587728869,4666377.76522193,2160.18003074326,0.411443759921349,5250.24375422827,5250.24375422827,7,5034.22575115394,8,4818.20774807962,11,4602.18974500529,14,4386.17174193097,17,4170.15373885664,21,3954.13573578231,24,3738.11773270799,33,3522.09972963366,38,3306.08172655934,45,3090.06372348501,48
"8","ID 1127 Year 90",5199.04691384211,5201.18927135908,654445.711255945,808.978189604605,0.155601248269323,5199.04691384211,5199.04691384211,8,5118.14909488165,6,5037.25127592118,6,4956.35345696072,6,4875.45563800026,5,4794.5578190398,5,4713.66000007934,5,4632.76218111888,4,4551.86436215842,3,4470.96654319796,3,4390.0687242375,3
"9","ID 415 Year 89",5032.85894817329,5278.6414903999,429484.872231852,655.350953483591,0.130214448732257,5032.85894817329,5032.85894817329,9,4967.32385282493,9,4901.78875747657,7,4836.25366212822,7,4770.71856677986,7,4705.1834714315,7,4639.64837608314,7,4574.11328073478,6,4508.57818538642,4,4443.04309003806,4,4377.5079946897,4
"10","ID 1109 Year 90",5023.32029398539,4776.43243794457,769576.224925255,877.25493724758,0.174636472672855,5023.32029398539,5023.32029398539,10,4935.59480026064,10,4847.86930653588,8,4760.14381281112,8,4672.41831908636,9,4584.6928253616,9,4496.96733163685,9,4409.24183791209,9,4321.51634418733,9,4233.79085046257,8,4146.06535673781,9
"11","ID 1139 Year 90",5021.94640280396,4790.32863912784,1787877.65975956,1337.115424995,0.266254419650603,5021.94640280396,5021.94640280396,11,4888.23486030446,12,4754.52331780496,13,4620.81177530546,12,4487.10023280596,13,4353.38869030646,14,4219.67714780696,17,4085.96560530746,17,3952.25406280796,17,3818.54252030846,19,3684.83097780896,20
"12","ID 103 Year 88",4990.90558330109,4769.15426229215,626106.519481492,791.26892993564,0.158542155672734,4990.90558330109,4990.90558330109,12,4911.77869030753,11,4832.65179731396,10,4753.5249043204,9,4674.39801132684,8,4595.27111833327,8,4516.14422533971,8,4437.01733234614,8,4357.89043935258,8,4278.76354635902,7,4199.63665336545,6
"13","ID 291 Year 90",4952.74047845588,4454.83707241167,1912661.99719136,1382.99023756184,0.279237372436082,4952.74047845588,4952.74047845588,13,4814.4414546997,14,4676.14243094351,16,4537.84340718733,16,4399.54438343114,16,4261.24535967496,18,4122.94633591877,18,3984.64731216259,19,3846.34828840641,20,3708.04926465022,24,3569.75024089404,26
"14","ID 1097 Year 90",4911.31890156645,5108.77474098763,597337.679231496,772.876237978304,0.157366331421036,4911.31890156645,4911.31890156645,14,4834.03127776862,13,4756.74365397079,12,4679.45603017296,10,4602.16840637513,10,4524.8807825773,10,4447.59315877947,10,4370.30553498164,10,4293.01791118381,10,4215.73028738598,9,4138.44266358815,11
"15","ID 1007 Year 90",4900.24625659281,5145.38837547354,792478.50808724,890.212619595589,0.181666914881654,4900.24625659281,4900.24625659281,15,4811.22499463325,15,4722.20373267369,14,4633.18247071413,11,4544.16120875457,11,4455.13994679502,11,4366.11868483546,12,4277.0974228759,13,4188.07616091634,14,4099.05489895678,14,4010.03363699722,13
"16","ID 1124 Year 90",4875.49499436815,5578.45416594099,2539597.26128347,1593.61138966922,0.326861455403001,4875.49499436815,4875.49499436815,16,4716.13385540123,18,4556.77271643431,19,4397.41157746739,22,4238.05043850047,23,4078.68929953354,24,3919.32816056662,25,3759.9670215997,28,3600.60588263278,35,3441.24474366585,37,3281.88360469893,41
"17","ID 1136 Year 90",4872.73705088678,4605.82044558227,1829984.85073057,1352.76932650418,0.27762001363443,4872.73705088678,4872.73705088678,17,4737.46011823636,17,4602.18318558594,17,4466.90625293552,19,4331.62932028511,20,4196.35238763469,19,4061.07545498427,19,3925.79852233385,21,3790.52158968343,23,3655.24465703302,27,3519.9677243826,28
"18","ID 1015 Year 88",4869.66071423073,4796.35898117891,703298.870270571,838.629161352365,0.172215111188674,4869.66071423073,4869.66071423073,18,4785.7977980955,16,4701.93488196026,15,4618.07196582503,13,4534.20904968979,12,4450.34613355455,12,4366.48321741932,11,4282.62030128408,12,4198.75738514884,13,4114.89446901361,13,4031.03155287837,12
"19","ID 379 Year 89",4801.27721430175,4804.34451309894,1577610.97029281,1256.02984450721,0.261603275221398,4801.27721430175,4801.27721430175,19,4675.67422985103,19,4550.07124540031,20,4424.46826094959,21,4298.86527649887,22,4173.26229204815,20,4047.65930759743,20,3922.0563231467,22,3796.45333869598,22,3670.85035424526,26,3545.24736979454,27
"20","ID 1014 Year 88",4754.07460463626,4744.25676061,2688953.94541009,1639.80302030765,0.344925807160974,4754.07460463626,4754.07460463626,20,4590.09430260549,22,4426.11400057473,23,4262.13369854396,24,4098.1533965132,28,3934.17309448243,31,3770.19279245167,37,3606.2124904209,41,3442.23218839014,43,3278.25188635937,47,3114.27158432861,47
"21","ID 1129 Year 90",4741.28251316838,5052.78627806394,4576478.57422846,2139.27057059841,0.451200822700784,4741.28251316838,4741.28251316838,21,4527.35545610854,24,4313.4283990487,28,4099.50134198886,36,3885.57428492902,42,3671.64722786918,45,3457.72017080934,51,3243.79311374949,55,3029.86605668965,60,2815.93899962981,65,2602.01194256997,69
"22","ID 1067 Year 88",4705.33217147914,4697.16497197287,510057.481821081,714.183087044969,0.151781651330359,4705.33217147914,4705.33217147914,22,4633.91386277465,20,4562.49555407015,18,4491.07724536565,17,4419.65893666115,15,4348.24062795666,15,4276.82231925216,15,4205.40401054766,15,4133.98570184317,15,4062.56739313867,15,3991.14908443417,14
"23","ID 1130 Year 90",4704.91220886793,4323.36500789048,643070.929150272,801.917033832224,0.170442507369373,4704.91220886793,4704.91220886793,23,4624.72050548471,21,4544.52880210149,21,4464.33709871827,20,4384.14539533504,18,4303.95369195182,17,4223.7619885686,16,4143.57028518538,16,4063.37858180215,16,3983.18687841893,16,3902.99517503571,15
"24","ID 294 Year 90",4657.76417938193,4268.5767445053,2184871.37968999,1478.13104280033,0.317347762976801,4657.76417938193,4657.76417938193,24,4509.9510751019,25,4362.13797082187,26,4214.32486654183,27,4066.5117622618,29,3918.69865798177,33,3770.88555370173,36,3623.0724494217,39,3475.25934514167,40,3327.44624086163,42,3179.6331365816,43
"25","ID 1115 Year 90",4632.64162192723,4321.3831203942,2147140.4398437,1465.31240349753,0.316301696328485,4632.64162192723,4632.64162192723,25,4486.11038157748,27,4339.57914122772,27,4193.04790087797,29,4046.51666052822,33,3899.98542017847,34,3753.45417982871,41,3606.92293947896,40,3460.39169912921,42,3313.86045877946,43,3167.3292184297,44
"26","ID 1042 Year 89",4626.95070855712,4137.20093807945,1594868.67860407,1262.88110232281,0.272940254147775,4626.95070855712,4626.95070855712,26,4500.66259832484,26,4374.37448809256,25,4248.08637786028,25,4121.798267628,27,3995.51015739572,27,3869.22204716344,27,3742.93393693116,31,3616.64582669888,34,3490.3577164666,35,3364.06960623431,36
"27","ID 1118 Year 90",4621.93770524238,4558.22700925242,232520.98454991,482.20429752327,0.104329467049358,4621.93770524238,4621.93770524238,27,4573.71727549005,23,4525.49684573772,22,4477.27641598539,18,4429.05598623307,14,4380.83555648074,13,4332.61512672841,13,4284.39469697609,11,4236.17426722376,11,4187.95383747143,11,4139.73340771911,10
"28","ID 1099 Year 90",4597.95695157213,4505.09923241226,2108086.40603706,1451.92506901598,0.315776133684666,4597.95695157213,4597.95695157213,28,4452.76444467053,28,4307.57193776893,29,4162.37943086733,32,4017.18692396574,34,3871.99441706414,38,3726.80191016254,42,3581.60940326094,42,3436.41689635934,44,3291.22438945775,46,3146.03188255615,45
"29","ID 1119 Year 90",4493.97102496434,4316.14259679832,1160639.94982594,1077.33000971194,0.239727849540484,4493.97102496434,4493.97102496434,29,4386.23802399314,30,4278.50502302195,31,4170.77202205076,31,4063.03902107956,30,3955.30602010837,29,3847.57301913717,30,3739.84001816598,32,3632.10701719478,32,3524.37401622359,34,3416.64101525239,35
"30","ID 1075 Year 88",4483.26118707272,4512.15695513471,105516.23832899,324.832631256452,0.0724545409473558,4483.26118707272,4483.26118707272,30,4450.77792394708,29,4418.29466082143,24,4385.81139769579,23,4353.32813457014,19,4320.8448714445,16,4288.36160831885,14,4255.87834519321,14,4223.39508206756,12,4190.91181894192,10,4158.42855581627,8
"31","ID 1076 Year 88",4447.52574486512,4470.51274216538,1321344.37428036,1149.49744422524,0.258457738114814,4447.52574486512,4447.52574486512,31,4332.5760004426,34,4217.62625602007,35,4102.67651159755,35,3987.72676717502,36,3872.7770227525,37,3757.82727832998,40,3642.87753390745,38,3527.92778948493,37,3412.9780450624,38,3298.02830063988,37
"32","ID 360 Year 90",4437.94326630156,4008.61477256454,954094.149626235,976.77743095663,0.220096871984271,4437.94326630156,4437.94326630156,32,4340.2655232059,33,4242.58778011023,33,4144.91003701457,33,4047.23229391891,32,3949.55455082324,30,3851.87680772758,28,3754.19906463192,30,3656.52132153626,29,3558.84357844059,31,3461.16583534493,33
"33","ID 1123 Year 90",4437.05297964714,4541.61816878925,446538.940725363,668.235692495816,0.150603496411025,4437.05297964714,4437.05297964714,33,4370.22941039756,31,4303.40584114798,30,4236.58227189839,26,4169.75870264881,24,4102.93513339923,22,4036.11156414965,22,3969.28799490007,20,3902.46442565049,19,3835.6408564009,18,3768.81728715132,18
"34","ID 275 Year 88",4425.82995155714,4217.0624711781,549032.212161355,740.967078999705,0.167418786331592,4425.82995155714,4425.82995155714,34,4351.73324365717,32,4277.63653575719,32,4203.53982785722,28,4129.44311995725,26,4055.34641205728,25,3981.24970415731,23,3907.15299625734,23,3833.05628835737,21,3758.9595804574,20,3684.86287255743,19
"35","ID 282 Year 90",4362.19718482907,4362.19718482907,3276250.60029381,1810.04160181301,0.414938051885413,4362.19718482907,4362.19718482907,35,4181.19302464777,39,4000.18886446647,44,3819.18470428517,48,3638.18054410387,54,3457.17638392257,54,3276.17222374127,58,3095.16806355997,62,2914.16390337867,67,2733.15974319736,68,2552.15558301606,70
"36","ID 1064 Year 89",4351.66018584441,3689.74374750019,2543242.47933957,1594.75467685145,0.366470406406974,4351.66018584441,4351.66018584441,36,4192.18471815926,38,4032.70925047412,40,3873.23378278897,45,3713.75831510383,48,3554.28284741868,52,3394.80737973354,52,3235.33191204839,57,3075.85644436325,58,2916.3809766781,59,2756.90550899296,61
"37","ID 1031 Year 90",4308.96314523043,4308.96314523043,199870.483628825,447.068768344228,0.103753212379894,4308.96314523043,4308.96314523043,37,4264.25626839601,35,4219.54939156159,34,4174.84251472717,30,4130.13563789274,25,4085.42876105832,23,4040.7218842239,21,3996.01500738947,18,3951.30813055505,18,3906.60125372063,17,3861.89437688621,17
"38","ID 1107 Year 90",4308.48495441377,4365.9844075996,425356.989765551,652.193981699886,0.151374320347053,4308.48495441377,4308.48495441377,38,4243.26555624378,36,4178.04615807379,36,4112.8267599038,34,4047.60736173381,31,3982.38796356383,28,3917.16856539384,26,3851.94916722385,24,3786.72976905386,24,3721.51037088387,21,3656.29097271388,24
"39","ID 1117 Year 90",4273.30901954746,3835.40095141542,4053454.20210166,2013.31920025158,0.471138218893608,4273.30901954746,4273.30901954746,39,4071.9770995223,44,3870.64517949714,51,3669.31325947199,55,3467.98133944683,56,3266.64941942167,62,3065.31749939651,69,2863.98557937135,71,2662.6536593462,73,2461.32173932104,73,2259.98981929588,74
"40","ID 1126 Year 90",4266.3673896159,4119.09508098094,479551.602926428,692.496644704094,0.162315286393195,4266.3673896159,4266.3673896159,40,4197.11772514549,37,4127.86806067509,37,4058.61839620468,37,3989.36873173427,35,3920.11906726386,32,3850.86940279345,29,3781.61973832304,27,3712.37007385263,28,3643.12040938222,28,3573.87074491181,25
"41","ID 1100 Year 90",4230.86415953054,3970.3979772146,547166.850044792,739.707273213392,0.174835978022861,4230.86415953054,4230.86415953054,41,4156.8934322092,40,4082.92270488786,38,4008.95197756652,38,3934.98125024518,37,3861.01052292385,39,3787.03979560251,34,3713.06906828117,34,3639.09834095983,30,3565.12761363849,30,3491.15688631715,30
"42","ID 1040 Year 90",4187.38025648943,3889.04019306583,505128.604250493,710.724000052406,0.169729987848836,4187.38025648943,4187.38025648943,42,4116.30785648419,41,4045.23545647895,39,3974.16305647371,39,3903.09065646847,40,3832.01825646323,41,3760.94585645799,39,3689.87345645275,36,3618.80105644751,33,3547.72865644227,32,3476.65625643703,32
"43","ID 1108 Year 90",4186.95420008379,3953.74945852107,803187.928031964,896.207525092243,0.214047606509359,4186.95420008379,4186.95420008379,43,4097.33344757457,42,4007.71269506535,42,3918.09194255612,43,3828.4711900469,44,3738.85043753767,44,3649.22968502845,44,3559.60893251922,44,3469.98818001,41,3380.36742750077,39,3290.74667499155,39
"44","ID 413 Year 90",4173.79134771372,3728.45448925592,1312905.58457523,1145.82092168682,0.274527600023529,4173.79134771372,4173.79134771372,44,4059.20925554504,45,3944.62716337636,46,3830.04507120768,47,3715.462979039,46,3600.88088687031,49,3486.29879470163,49,3371.71670253295,50,3257.13461036427,49,3142.55251819559,50,3027.97042602691,53
"45","ID 1081 Year 90",4159.26011909323,4015.27714119308,426087.591750998,652.753852344816,0.156939896436947,4159.26011909323,4159.26011909323,45,4093.98473385875,43,4028.70934862427,41,3963.43396338979,40,3898.1585781553,41,3832.88319292082,40,3767.60780768634,38,3702.33242245186,35,3637.05703721738,31,3571.7816519829,29,3506.50626674842,29
"46","ID 1006 Year 88",4134.44664470401,4108.7709554504,1530347.52316293,1237.07215762175,0.29921105868094,4134.44664470401,4134.44664470401,46,4010.73942894184,48,3887.03221317966,50,3763.32499741749,52,3639.61778165531,53,3515.91056589314,53,3392.20335013096,53,3268.49613436879,52,3144.78891860661,55,3021.08170284444,56,2897.37448708226,57
"47","ID 289 Year 88",4099.42963572976,4090.4412738491,1047560.30945853,1023.50393719737,0.249669839012904,4099.42963572976,4099.42963572976,47,3997.07924201002,49,3894.72884829028,49,3792.37845457054,49,3690.02806085081,51,3587.67766713107,51,3485.32727341133,50,3382.97687969159,49,3280.62648597186,48,3178.27609225212,48,3075.92569853238,49
"48","ID 1062 Year 88",4084.10707085625,4173.47750207698,168969.656604221,411.059188687251,0.100648484859891,4084.10707085625,4084.10707085625,48,4043.00115198753,46,4001.8952331188,43,3960.78931425008,41,3919.68339538135,38,3878.57747651263,35,3837.4715576439,31,3796.36563877518,25,3755.25971990645,25,3714.15380103773,22,3673.047882169,22
"49","ID 1032 Year 89",4074.10995893263,4177.57284581869,160143.870695425,400.179797960148,0.0982250852318652,4074.10995893263,4074.10995893263,49,4034.09197913661,47,3994.0739993406,45,3954.05601954459,42,3914.03803974857,39,3874.02005995256,36,3834.00208015654,32,3793.98410036053,26,3753.96612056451,26,3713.9481407685,23,3673.93016097248,21
"50","ID 1063 Year 88",4036.74386054587,4141.59553178365,311869.059222638,558.452378652503,0.13834228723568,4036.74386054587,4036.74386054587,50,3980.89862268062,50,3925.05338481537,47,3869.20814695012,46,3813.36290908487,45,3757.51767121962,43,3701.67243335437,43,3645.82719548912,37,3589.98195762387,36,3534.13671975862,33,3478.29148189337,31
"51","ID 1037 Year 89",3995.85910903777,3905.92110314382,496848.965058112,704.875141466992,0.176401400107606,3995.85910903777,3995.85910903777,51,3925.37159489107,52,3854.88408074437,52,3784.39656659767,50,3713.90905245097,47,3643.42153830427,47,3572.93402415757,46,3502.44651001087,46,3431.95899586417,45,3361.47148171748,40,3290.98396757078,38
"52","ID 1047 Year 89",3974.14648754333,3971.71010071075,468128.894605209,684.199455279825,0.172162615903666,3974.14648754333,3974.14648754333,52,3905.72654201535,53,3837.30659648737,53,3768.88665095939,51,3700.4667054314,50,3632.04675990342,48,3563.62681437544,47,3495.20686884746,47,3426.78692331947,46,3358.36697779149,41,3289.94703226351,40
"53","ID 1071 Year 89",3964.05401163876,3970.79302284837,85459.9055378657,292.335262221077,0.0737465386099077,3964.05401163876,3964.05401163876,53,3934.82048541665,51,3905.58695919454,48,3876.35343297243,44,3847.11990675032,43,3817.88638052822,42,3788.65285430611,33,3759.419328084,29,3730.18580186189,27,3700.95227563979,25,3671.71874941768,23
"54","ID 377 Year 90",3938.54960820295,4048.17740096462,486888.350648768,697.77385351471,0.177165180822258,3938.54960820295,3938.54960820295,54,3868.77222285148,54,3798.99483750001,55,3729.21745214854,54,3659.44006679707,52,3589.6626814456,50,3519.88529609413,48,3450.10791074266,48,3380.33052539118,47,3310.55314003971,44,3240.77575468824,42
"55","ID 393 Year 88",3893.43798204302,3747.3787751377,217002.160837396,465.834907276597,0.119646160905883,3893.43798204302,3893.43798204302,55,3846.85449131536,55,3800.2710005877,54,3753.68750986004,53,3707.10401913238,49,3660.52052840472,46,3613.93703767706,45,3567.3535469494,43,3520.77005622174,39,3474.18656549408,36,3427.60307476642,34
"56","ID 1101 Year 90",3884.01364937161,3378.3922612493,1400974.48780605,1183.62768124358,0.304743440187208,3884.01364937161,3884.01364937161,56,3765.65088124725,56,3647.2881131229,56,3528.92534499854,58,3410.56257687418,59,3292.19980874982,61,3173.83704062546,63,3055.47427250111,64,2937.11150437675,64,2818.74873625239,64,2700.38596812803,65
"57","ID 1111 Year 90",3862.23220599641,3819.76885459539,1474831.61453171,1214.42645497029,0.314436416610271,3862.23220599641,3862.23220599641,57,3740.78956049938,57,3619.34691500235,58,3497.90426950532,59,3376.46162400829,62,3255.01897851126,65,3133.57633301423,66,3012.13368751721,68,2890.69104202018,68,2769.24839652315,67,2647.80575102612,66
"58","ID 1140 Year 90",3775.8029682352,4084.66808454169,912041.307492014,955.008537915769,0.252928594513536,3775.8029682352,3775.8029682352,58,3680.30211444362,59,3584.80126065205,60,3489.30040686047,61,3393.79955306889,60,3298.29869927732,60,3202.79784548574,61,3107.29699169416,61,3011.79613790259,61,2916.29528411101,60,2820.79443031943,59
"59","ID 1141 Year 90",3771.78763987719,3875.53908587128,516488.612568987,718.671421839624,0.190538675677675,3771.78763987719,3771.78763987719,59,3699.92049769322,58,3628.05335550926,57,3556.1862133253,56,3484.31907114134,55,3412.45192895737,55,3340.58478677341,54,3268.71764458945,51,3196.85050240549,52,3124.98336022152,52,3053.11621803756,51
"60","ID 382 Year 88",3754.738143027,4084.98181245737,1062188.95845418,1030.6255180492,0.274486656270077,3754.738143027,3754.738143027,60,3651.67559122208,61,3548.61303941716,62,3445.55048761224,63,3342.48793580732,64,3239.4253840024,67,3136.36283219748,65,3033.30028039256,66,2930.23772858764,65,2827.17517678272,63,2724.1126249778,62
"61","ID 1125 Year 90",3749.6079987513,3487.38383955512,506009.251225705,711.343272425982,0.1897113705387,3749.6079987513,3749.6079987513,61,3678.47367150871,60,3607.33934426611,59,3536.20501702351,57,3465.07068978091,57,3393.93636253831,56,3322.80203529572,55,3251.66770805312,54,3180.53338081052,54,3109.39905356792,53,3038.26472632532,52
"62","ID 1143 Year 90",3740.18927859532,3741.42289865919,1291037.8879971,1136.23848200855,0.303791706080524,3740.18927859532,3740.18927859532,62,3626.56543039446,63,3512.9415821936,65,3399.31773399275,66,3285.69388579189,69,3172.07003759104,70,3058.44618939018,70,2944.82234118933,69,2831.19849298847,69,2717.57464478762,69,2603.95079658676,68
"63","ID 371 Year 88",3737.43591280517,3628.58544586684,1048846.73915996,1024.13218832334,0.274019999865274,3737.43591280517,3737.43591280517,63,3635.02269397284,62,3532.6094751405,64,3430.19625630817,64,3327.78303747583,65,3225.3698186435,68,3122.95659981116,68,3020.54338097883,67,2918.1301621465,66,2815.71694331416,66,2713.30372448183,63
"64","ID 1110 Year 90",3691.5425166351,3346.67189340793,3143384.85677128,1772.95935000532,0.480276020665041,3691.5425166351,3691.5425166351,64,3514.24658163457,68,3336.95064663404,73,3159.65471163351,73,2982.35877663298,75,2805.06284163244,77,2627.76690663191,77,2450.47097163138,77,2273.17503663085,78,2095.87910163032,78,1918.58316662979,79
"65","ID 1070 Year 88",3684.01004510837,3543.47504008575,1349247.35178377,1161.57107048332,0.315300733782107,3684.01004510837,3684.01004510837,65,3567.85293806004,67,3451.6958310117,67,3335.53872396337,71,3219.38161691504,71,3103.22450986671,71,2987.06740281838,71,2870.91029577004,70,2754.75318872171,71,2638.59608167338,71,2522.43897462505,72
"66","ID 1080 Year 90",3677.83643884155,3855.84871199322,368250.803271387,606.836718789649,0.164998288771317,3677.83643884155,3677.83643884155,66,3617.15276696258,64,3556.46909508362,61,3495.78542320465,60,3435.10175132569,58,3374.41807944673,57,3313.73440756776,56,3253.0507356888,53,3192.36706380983,53,3131.68339193087,51,3070.9997200519,50
"67","ID 1132 Year 90",3673.97227949005,3726.37860089545,495915.369207278,704.212588077832,0.191676075513443,3673.97227949005,3673.97227949005,67,3603.55102068226,65,3533.12976187448,63,3462.7085030667,62,3392.28724425892,61,3321.86598545113,58,3251.44472664335,59,3181.02346783557,58,3110.60220902778,57,3040.18095022,55,2969.75969141222,55
"68","ID 1045 Year 88",3669.51388586128,3831.76288218331,739430.748226905,859.90159217605,0.234336650282009,3669.51388586128,3669.51388586128,68,3583.52372664368,66,3497.53356742607,66,3411.54340820847,65,3325.55324899086,66,3239.56308977326,66,3153.57293055565,64,3067.58277133805,63,2981.59261212044,62,2895.60245290284,62,2809.61229368523,60
"69","ID 1010 Year 88",3641.71318457618,3031.74689090648,2190833.70432571,1480.14651447947,0.40644236365136,3641.71318457618,3641.71318457618,69,3493.69853312824,70,3345.68388168029,72,3197.66923023234,72,3049.6545787844,73,2901.63992733645,74,2753.6252758885,74,2605.61062444056,75,2457.59597299261,75,2309.58132154466,75,2161.56667009672,76
"70","ID 1043 Year 90",3573.36127863095,3567.53440483884,395472.084362832,628.865712503737,0.175987162637155,3573.36127863095,3573.36127863095,70,3510.47470738057,69,3447.5881361302,68,3384.70156487982,68,3321.81499362945,67,3258.92842237908,63,3196.0418511287,62,3133.15527987833,60,3070.26870862796,59,3007.38213737758,57,2944.49556612721,56
"71","ID 1095 Year 90",3554.9042386175,3806.76116080793,514612.957000894,717.365288399776,0.201795952928048,3554.9042386175,3554.9042386175,71,3483.16770977752,71,3411.43118093754,70,3339.69465209756,70,3267.95812325759,70,3196.22159441761,69,3124.48506557763,67,3052.74853673765,65,2981.01200789768,63,2909.2754790577,61,2837.53895021772,58
"72","ID 1009 Year 90",3517.03442040631,3552.15170171366,155302.176581978,394.083971485745,0.112050075256363,3517.03442040631,3517.03442040631,72,3477.62602325774,72,3438.21762610916,69,3398.80922896059,67,3359.40083181201,63,3319.99243466344,59,3280.58403751486,57,3241.17564036629,56,3201.76724321772,51,3162.35884606914,49,3122.95044892057,46
"73","Sainfoin",3511.96868498547,3511.96868498547,1952823.79495153,1397.43471938818,0.397906372389527,3511.96868498547,3511.96868498547,73,3372.22521304665,74,3232.48174110783,74,3092.73826916901,76,2952.99479723019,77,2813.25132529138,76,2673.50785335256,76,2533.76438141374,76,2394.02090947492,76,2254.2774375361,77,2114.53396559728,77
"74","ID 1065 Year 90",3494.41014900931,3696.31673362464,225115.21209331,474.463077692363,0.135777729991677,3494.41014900931,3494.41014900931,74,3446.96384124008,73,3399.51753347084,71,3352.07122570161,69,3304.62491793237,68,3257.17861016313,64,3209.7323023939,60,3162.28599462466,59,3114.83968685542,56,3067.39337908619,54,3019.94707131695,54
"75","ID 1096 Year 90",3389.17566865812,3800.73271000753,1156231.92826287,1075.28225516042,0.317269554689726,3389.17566865812,3389.17566865812,75,3281.64744314208,76,3174.11921762604,77,3066.59099211,77,2959.06276659396,76,2851.53454107791,75,2744.00631556187,75,2636.47809004583,74,2528.94986452979,74,2421.42163901375,74,2313.89341349771,73
"76","ID 1104 Year 90",3370.23404833874,3726.47421051914,2097150.48157239,1448.15416360703,0.429689494212088,3370.23404833874,3370.23404833874,76,3225.41863197804,78,3080.60321561734,78,2935.78779925663,78,2790.97238289593,78,2646.15696653523,78,2501.34155017452,78,2356.52613381382,79,2211.71071745312,79,2066.89530109241,79,1922.07988473171,78
"77","ID 1137 Year 90",3361.10764147948,3458.07296453779,523445.123385098,723.495074886552,0.215254955229011,3361.10764147948,3361.10764147948,77,3288.75813399082,75,3216.40862650217,75,3144.05911901351,74,3071.70961152486,72,2999.3601040362,72,2927.01059654755,72,2854.66108905889,72,2782.31158157023,70,2709.96207408158,70,2637.61256659292,67
"78","ID 1112 Year 90",3333.07900463068,3527.97047405108,631394.95353309,794.603645557387,0.238399283201339,3333.07900463068,3333.07900463068,78,3253.61864007494,77,3174.1582755192,76,3094.69791096346,75,3015.23754640772,74,2935.77718185198,73,2856.31681729625,73,2776.85645274051,73,2697.39608818477,72,2617.93572362903,72,2538.47535907329,71
"79","Kura Clover",2899.96679837428,2665.09394919835,505822.86703752,711.212251748745,0.245248411860249,2899.96679837428,2899.96679837428,79,2828.84557319941,79,2757.72434802453,79,2686.60312284966,79,2615.48189767479,79,2544.36067249991,79,2473.23944732504,79,2402.11822215016,78,2330.99699697529,77,2259.87577180041,76,2188.75454662554,75
"80","HI-GEST 660",2696.31231537309,2754.50671692896,744477.902016485,862.831328833443,0.32000422351446,2696.31231537309,2696.31231537309,80,2610.02918248975,80,2523.7460496064,80,2437.46291672306,80,2351.17978383972,80,2264.89665095637,80,2178.61351807303,80,2092.33038518968,80,2006.04725230634,80,1919.76411942299,80,1833.48098653965,80
